hmm_group,state_id,action_id,action,emission_prob
human,0,0,increase_concentration,0.019391815532608474
human,0,1,decrease_concentration,0.003283446642106131
human,0,2,increase_wavelength,0.49976550026756994
human,0,3,decrease_wavelength,0.4608682485909014
human,0,4,increase_path_length,0.002672328606076051
human,0,5,decrease_path_length,9.999930000490078e-07
human,0,6,finish,0.014017660367737916
human,1,0,increase_concentration,0.008200120619784841
human,1,1,decrease_concentration,2.324820278053203e-05
human,1,2,increase_wavelength,0.014404509206736821
human,1,3,decrease_wavelength,0.0047305375185510996
human,1,4,increase_path_length,0.4992208460081537
human,1,5,decrease_path_length,0.45032940024055423
human,1,6,finish,0.023091338203438866
human,2,0,increase_concentration,0.5609238342073631
human,2,1,decrease_concentration,0.41578968383495885
human,2,2,increase_wavelength,0.002045779925175857
human,2,3,decrease_wavelength,0.0008586920028676419
human,2,4,increase_path_length,0.004327624607870817
human,2,5,decrease_path_length,0.004882688147805869
human,2,6,finish,0.011171697273957937
qwen25_vl_3b__chart_only,0,0,increase_concentration,0.04187036218098895
qwen25_vl_3b__chart_only,0,1,decrease_concentration,9.999943260859223e-07
qwen25_vl_3b__chart_only,0,2,increase_wavelength,0.7962510585989984
qwen25_vl_3b__chart_only,0,3,decrease_wavelength,1.0326439047108752e-06
qwen25_vl_3b__chart_only,0,4,increase_path_length,0.04854133969918196
qwen25_vl_3b__chart_only,0,5,decrease_path_length,0.013432174664376104
qwen25_vl_3b__chart_only,0,6,finish,0.09990303221822386
qwen25_vl_3b__chart_only,1,0,increase_concentration,0.19668839204202984
qwen25_vl_3b__chart_only,1,1,decrease_concentration,9.999930023726288e-07
qwen25_vl_3b__chart_only,1,2,increase_wavelength,0.6155510441970499
qwen25_vl_3b__chart_only,1,3,decrease_wavelength,0.1664381441114857
qwen25_vl_3b__chart_only,1,4,increase_path_length,0.021319419130010744
qwen25_vl_3b__chart_only,1,5,decrease_path_length,9.999930000491277e-07
qwen25_vl_3b__chart_only,1,6,finish,1.0005334215198345e-06
qwen25_vl_3b__chart_only,2,0,increase_concentration,9.999930000489998e-07
qwen25_vl_3b__chart_only,2,1,decrease_concentration,0.2830055681583625
qwen25_vl_3b__chart_only,2,2,increase_wavelength,0.07114763846046424
qwen25_vl_3b__chart_only,2,3,decrease_wavelength,0.3946617421869309
qwen25_vl_3b__chart_only,2,4,increase_path_length,9.999979328872036e-07
qwen25_vl_3b__chart_only,2,5,decrease_path_length,0.097692752289822
qwen25_vl_3b__chart_only,2,6,finish,0.15349029891348748
qwen25_vl_3b__simulation_only,0,0,increase_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation_only,0,1,decrease_concentration,0.01025499119639524
qwen25_vl_3b__simulation_only,0,2,increase_wavelength,0.9773225755968871
qwen25_vl_3b__simulation_only,0,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_3b__simulation_only,0,4,increase_path_length,0.002164420047634807
qwen25_vl_3b__simulation_only,0,5,decrease_path_length,0.01025499119639524
qwen25_vl_3b__simulation_only,0,6,finish,1.021976687462581e-06
qwen25_vl_3b__simulation_only,1,0,increase_concentration,0.1799645043826663
qwen25_vl_3b__simulation_only,1,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation_only,1,2,increase_wavelength,0.6464517187029415
qwen25_vl_3b__simulation_only,1,3,decrease_wavelength,0.07906885216767542
qwen25_vl_3b__simulation_only,1,4,increase_path_length,9.999970206403319e-07
qwen25_vl_3b__simulation_only,1,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_3b__simulation_only,1,6,finish,0.09451192476369612
qwen25_vl_3b__simulation_only,2,0,increase_concentration,0.3211412268120253
qwen25_vl_3b__simulation_only,2,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation_only,2,2,increase_wavelength,0.0011425566511309771
qwen25_vl_3b__simulation_only,2,3,decrease_wavelength,0.23622026229046347
qwen25_vl_3b__simulation_only,2,4,increase_path_length,0.22852906162516531
qwen25_vl_3b__simulation_only,2,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_3b__simulation_only,2,6,finish,0.21296489263521481
qwen25_vl_7b__chart_only,0,0,increase_concentration,0.07048374570009222
qwen25_vl_7b__chart_only,0,1,decrease_concentration,0.06408045784471056
qwen25_vl_7b__chart_only,0,2,increase_wavelength,0.06514209578687936
qwen25_vl_7b__chart_only,0,3,decrease_wavelength,0.5158372441904364
qwen25_vl_7b__chart_only,0,4,increase_path_length,3.0198594042116864e-06
qwen25_vl_7b__chart_only,0,5,decrease_path_length,9.999996566352342e-07
qwen25_vl_7b__chart_only,0,6,finish,0.28445243661882075
qwen25_vl_7b__chart_only,1,0,increase_concentration,9.999930000497015e-07
qwen25_vl_7b__chart_only,1,1,decrease_concentration,0.109637981534021
qwen25_vl_7b__chart_only,1,2,increase_wavelength,0.6074621038773019
qwen25_vl_7b__chart_only,1,3,decrease_wavelength,9.999930000489998e-07
qwen25_vl_7b__chart_only,1,4,increase_path_length,0.14128328898576922
qwen25_vl_7b__chart_only,1,5,decrease_path_length,0.08861626693922661
qwen25_vl_7b__chart_only,1,6,finish,0.05299835867768115
qwen25_vl_7b__chart_only,2,0,increase_concentration,0.4948715412262116
qwen25_vl_7b__chart_only,2,1,decrease_concentration,0.1366339491047794
qwen25_vl_7b__chart_only,2,2,increase_wavelength,0.1114711324280386
qwen25_vl_7b__chart_only,2,3,decrease_wavelength,1.0000508872608542e-06
qwen25_vl_7b__chart_only,2,4,increase_path_length,0.08424790616211819
qwen25_vl_7b__chart_only,2,5,decrease_path_length,0.03891195638570734
qwen25_vl_7b__chart_only,2,6,finish,0.1338625146422577
qwen25_vl_7b__simulation_only,0,0,increase_concentration,0.10721626090386843
qwen25_vl_7b__simulation_only,0,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_7b__simulation_only,0,2,increase_wavelength,2.2245068252581826e-06
qwen25_vl_7b__simulation_only,0,3,decrease_wavelength,0.2564096593858328
qwen25_vl_7b__simulation_only,0,4,increase_path_length,0.5361284858986249
qwen25_vl_7b__simulation_only,0,5,decrease_path_length,0.06993067211980171
qwen25_vl_7b__simulation_only,0,6,finish,0.030311697192046738
qwen25_vl_7b__simulation_only,1,0,increase_concentration,0.03463214385629554
qwen25_vl_7b__simulation_only,1,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_7b__simulation_only,1,2,increase_wavelength,0.8306925236510097
qwen25_vl_7b__simulation_only,1,3,decrease_wavelength,1.100653037364501e-06
qwen25_vl_7b__simulation_only,1,4,increase_path_length,1.0002838077096256e-06
qwen25_vl_7b__simulation_only,1,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation_only,1,6,finish,0.13467123156984964
qwen25_vl_7b__simulation_only,2,0,increase_concentration,0.6143916831614229
qwen25_vl_7b__simulation_only,2,1,decrease_concentration,0.1988706815231025
qwen25_vl_7b__simulation_only,2,2,increase_wavelength,9.99993000049e-07
qwen25_vl_7b__simulation_only,2,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_7b__simulation_only,2,4,increase_path_length,0.1491532611405769
qwen25_vl_7b__simulation_only,2,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation_only,2,6,finish,0.037581374195897556
qwen35_4b__text_only,0,0,increase_concentration,0.9491855676004979
qwen35_4b__text_only,0,1,decrease_concentration,0.05080919023737311
qwen35_4b__text_only,0,2,increase_wavelength,1.0012559161412101e-06
qwen35_4b__text_only,0,3,decrease_wavelength,1.2409272084171447e-06
qwen35_4b__text_only,0,4,increase_path_length,9.999930001170144e-07
qwen35_4b__text_only,0,5,decrease_path_length,9.999930000489996e-07
qwen35_4b__text_only,0,6,finish,9.99993004266801e-07
qwen35_4b__text_only,1,0,increase_concentration,1.0166096271980234e-06
qwen35_4b__text_only,1,1,decrease_concentration,0.140091014727154
qwen35_4b__text_only,1,2,increase_wavelength,0.11338155783322547
qwen35_4b__text_only,1,3,decrease_wavelength,0.0473992168709984
qwen35_4b__text_only,1,4,increase_path_length,0.2725409400191001
qwen35_4b__text_only,1,5,decrease_path_length,0.1895940017502871
qwen35_4b__text_only,1,6,finish,0.23699225218960776
qwen35_4b__text_only,2,0,increase_concentration,9.99993000049e-07
qwen35_4b__text_only,2,1,decrease_concentration,9.99993000049e-07
qwen35_4b__text_only,2,2,increase_wavelength,0.5836736177583013
qwen35_4b__text_only,2,3,decrease_wavelength,0.41632138227669874
qwen35_4b__text_only,2,4,increase_path_length,9.99993000049e-07
qwen35_4b__text_only,2,5,decrease_path_length,9.99993000049e-07
qwen35_4b__text_only,2,6,finish,9.99993000049e-07
qwen35_9b__text_only,0,0,increase_concentration,9.999930000489998e-07
qwen35_9b__text_only,0,1,decrease_concentration,0.001089679623145384
qwen35_9b__text_only,0,2,increase_wavelength,0.49570973798559614
qwen35_9b__text_only,0,3,decrease_wavelength,0.28688637525973143
qwen35_9b__text_only,0,4,increase_path_length,9.999930000489998e-07
qwen35_9b__text_only,0,5,decrease_path_length,0.0390551564979329
qwen35_9b__text_only,0,6,finish,0.177257050647594
qwen35_9b__text_only,1,0,increase_concentration,0.7374605676877274
qwen35_9b__text_only,1,1,decrease_concentration,0.22325350567043648
qwen35_9b__text_only,1,2,increase_wavelength,9.999930000706847e-07
qwen35_9b__text_only,1,3,decrease_wavelength,0.039281926669836015
qwen35_9b__text_only,1,4,increase_path_length,9.999930000490004e-07
qwen35_9b__text_only,1,5,decrease_path_length,9.999930000489996e-07
qwen35_9b__text_only,1,6,finish,9.999930000983388e-07
qwen35_9b__text_only,2,0,increase_concentration,9.999930000489996e-07
qwen35_9b__text_only,2,1,decrease_concentration,0.14741856846229803
qwen35_9b__text_only,2,2,increase_wavelength,0.0611264217580802
qwen35_9b__text_only,2,3,decrease_wavelength,0.06252775729453744
qwen35_9b__text_only,2,4,increase_path_length,0.5179076570318908
qwen35_9b__text_only,2,5,decrease_path_length,0.2110175954659514
qwen35_9b__text_only,2,6,finish,9.999942420711722e-07
