episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,human,79,-1.4430860167293031
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,79,-2.7050805081835025
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,79,-3.270647332165039
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,79,-1.9615413327774753
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,79,-3.1962803994499116
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,79,-2.42049288775877
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,79,-1.9242394927672892
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,human,21,-1.2778942945346545
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,21,-2.784539654063396
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,21,-3.264079996512414
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,21,-1.851580390825917
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,21,-1.901817284079163
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,21,-2.6860461059878937
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,21,-2.3417374585389474
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,human,55,-1.3959584836354357
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,55,-3.2667929349196494
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,55,-3.712748080287297
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,55,-1.9568386477551478
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,55,-2.551042326324246
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,55,-2.582287863644067
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,55,-2.140268366064759
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,human,33,-1.2750749451659722
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,33,-1.972050505634239
