hmm_group_true,human,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__student,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__student,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__student,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,qwen35_4b__text__student,qwen35_9b__text__normal,qwen35_9b__text__student
human,-1.3845111303317892,-4.39920291042394,-4.037782556418433,-3.6592223699548705,-2.5645368709192877,-2.258838930711688,-2.5683578555681557,-2.5575271181078407,-4.010973761209068,-4.0444439037206195,-2.5317649655223637,-4.4584206427781465,-2.1469857507870125
qwen25_vl_3b__chart__normal,-1.751709088050632,-1.214030734761226,-1.8085097309620326,-1.7327630392242261,-2.2912168250360434,-1.9851627215714005,-2.483352716530742,-1.9549869339537382,-1.948943582211328,-1.9778820861749695,-3.4848143284563253,-2.3996681497324333,-3.144504600728182
qwen25_vl_3b__chart__student,-2.272841547087136,-3.0993271506595863,-1.3728498966872367,-3.4333387497471266,-3.037504307921352,-2.4554942291562205,-2.52893944109636,-4.256360600070717,-2.511712087408643,-3.095199566001802,-3.028872547504244,-2.702186894532448,-2.6528636307280484
qwen25_vl_3b__simulation__normal,-1.4855928262033,-1.1129880231902742,-1.5587784166679084,-0.8579843661369762,-1.7645248653530452,-1.3461109849217037,-1.864659398965621,-1.0344287037808981,-1.7993095878131484,-1.8120362048862648,-3.2200215901265645,-1.6100210769040197,-3.2051799025854297
qwen25_vl_3b__simulation__student,-2.302555658914225,-3.494895643109824,-2.7903137520616754,-2.264341259182432,-1.2839136977017684,-1.901302777166435,-1.740774420483846,-1.8906117530482751,-2.44649167744408,-3.3732799326567573,-3.0058917844804807,-2.739464944362846,-3.329370476875245
qwen25_vl_7b__chart__normal,-2.119575485225458,-3.3872768513947262,-2.801242696376081,-3.219707791333262,-3.2087899913707707,-1.574551080009497,-2.228258177690075,-2.4703332330869125,-3.1667315748051275,-4.4781718548704665,-3.2684604780001765,-3.273737817073303,-3.219636116207674
qwen25_vl_7b__chart__student,-2.272977374533737,-4.054785314485837,-3.140174397456161,-3.6380522561987667,-3.023942427465702,-1.9302492476628323,-1.3825248996280084,-2.5853600658523024,-2.825648317854276,-4.302672967611638,-4.688612512944147,-4.127206033949985,-3.983572001271535
qwen25_vl_7b__simulation__normal,-1.757592366867906,-2.231696458943411,-2.1079326166771275,-1.9079083512221904,-2.2268057790989926,-1.6145187107759746,-1.826806049242935,-1.2022592764375881,-1.9394705350753187,-2.52055016901877,-3.4669005774315713,-2.290126673334225,-3.3381045942129814
qwen25_vl_7b__simulation__student,-2.391090904878134,-2.9634639522482065,-2.3069081354221757,-2.8794298491055437,-2.360889317170836,-1.8678693608967756,-1.8824981179382345,-2.0360179547608785,-1.2797750155201038,-2.3541363715270816,-2.9350998929163383,-2.6744625648579032,-3.462356469772503
qwen35_4b__text__normal,-2.4124518919770557,-3.718468267702395,-2.122150592190163,-2.7940147530987423,-2.4659344926379427,-2.4199187198692957,-2.1687823833387974,-2.9188494360039914,-1.990450797287534,-1.1271989032641998,-2.0026139225060584,-2.8001253278327995,-2.790114765008274
qwen35_4b__text__student,-2.303381884499318,-3.6837026131571897,-2.5766770441449585,-3.5738160055874766,-2.9796477836523634,-2.3822218091566345,-3.602912890180113,-3.254397847900589,-2.0984951115245103,-2.1357756188340544,-1.3949266368425777,-3.140886060542762,-1.9310325808933855
qwen35_9b__text__normal,-2.1938010721507886,-2.5782460630368136,-1.9080266626235676,-2.1467806814410486,-2.251040698092681,-2.6991270389657513,-2.2207521495080096,-1.8997823094758428,-1.7798560874619915,-2.1676965341887575,-2.390021571831878,-1.3407940234606905,-2.6029254033610765
qwen35_9b__text__student,-2.436868018427583,-3.8502121359189045,-2.556126297400791,-3.4392371965054407,-3.254130773274671,-2.8811649355508377,-3.464025594877151,-3.37504351201708,-2.4242841673806854,-2.471492893152514,-1.6907161643947792,-2.974713822157292,-1.577855268407005
