true_hmm_group,human,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__student,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__student,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__student,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__student,qwen35_4b__text__normal,qwen35_4b__text__student,qwen35_9b__text__normal,qwen35_9b__text__student
human,0.9753086419753086,0.0,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_vl_3b__chart__normal,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0
qwen25_vl_3b__chart__student,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_vl_3b__simulation__normal,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0
qwen25_vl_3b__simulation__student,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
qwen25_vl_7b__chart__normal,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.1,0.0
qwen25_vl_7b__chart__student,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
qwen25_vl_7b__simulation__normal,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0
qwen25_vl_7b__simulation__student,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
qwen35_4b__text__normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0
qwen35_4b__text__student,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
qwen35_9b__text__normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.7,0.0
qwen35_9b__text__student,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
