episode_id,source,modality,prompt_condition,condition,model,length,true_hmm_group,pred_hmm_group,is_correct,best_mean_loglik_per_step
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,79,human,human,True,-1.4430860167293031
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,21,human,human,True,-1.2778942945346545
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,55,human,human,True,-1.3959584836354357
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,33,human,human,True,-1.2750749451659722
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,43,human,human,True,-1.4091700749438816
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,22,human,human,True,-1.8419244239367887
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,33,human,human,True,-1.890539019934834
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,30,human,human,True,-1.5684520032456986
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,69,human,human,True,-1.3135632501944006
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,42,human,human,True,-1.7161533777688367
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,58,human,human,True,-1.3876877235320935
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,23,human,human,True,-1.6581950120773585
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,20,human,human,True,-1.4989187246209774
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,9,human,qwen25_vl_7b__chart__normal,False,-2.128929150905066
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,89,human,human,True,-1.6925051028286353
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,93,human,human,True,-1.3024965800636983
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,35,human,human,True,-1.4987139129015514
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,85,human,human,True,-1.205861109122422
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,44,human,human,True,-1.2392933038464058
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,174,human,human,True,-1.2979829530728637
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,7,human,qwen25_vl_7b__chart__student,False,-1.7691783685410791
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,17,human,human,True,-2.259731235613034
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,87,human,human,True,-1.3324318900456043
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,196,human,human,True,-1.2686658456013
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,52,human,human,True,-1.3754679739010167
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,14,human,human,True,-1.2978861089895077
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,13,human,human,True,-1.7108495059008226
human__k1-9k2w3mio_sim1.pkl,human,human,human,human,human,34,human,human,True,-1.5990574642899213
human__k1-9uwp7vnf_sim1.pkl,human,human,human,human,human,40,human,human,True,-1.2205338232235323
