hmm_group,state_id,action_id,action,emission_prob
human,0,0,increase_concentration,0.019391815532608474
human,0,1,decrease_concentration,0.003283446642106131
human,0,2,increase_wavelength,0.49976550026756994
human,0,3,decrease_wavelength,0.4608682485909014
human,0,4,increase_path_length,0.002672328606076051
human,0,5,decrease_path_length,9.999930000490078e-07
human,0,6,finish,0.014017660367737916
human,1,0,increase_concentration,0.008200120619784841
human,1,1,decrease_concentration,2.324820278053203e-05
human,1,2,increase_wavelength,0.014404509206736821
human,1,3,decrease_wavelength,0.0047305375185510996
human,1,4,increase_path_length,0.4992208460081537
human,1,5,decrease_path_length,0.45032940024055423
human,1,6,finish,0.023091338203438866
human,2,0,increase_concentration,0.5609238342073631
human,2,1,decrease_concentration,0.41578968383495885
human,2,2,increase_wavelength,0.002045779925175857
human,2,3,decrease_wavelength,0.0008586920028676419
human,2,4,increase_path_length,0.004327624607870817
human,2,5,decrease_path_length,0.004882688147805869
human,2,6,finish,0.011171697273957937
qwen25_vl_3b__chart__normal,0,0,increase_concentration,0.18477434315749805
qwen25_vl_3b__chart__normal,0,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_3b__chart__normal,0,2,increase_wavelength,0.7448174163797928
qwen25_vl_3b__chart__normal,0,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_3b__chart__normal,0,4,increase_path_length,0.015474555978948453
qwen25_vl_3b__chart__normal,0,5,decrease_path_length,0.054922484421861505
qwen25_vl_3b__chart__normal,0,6,finish,9.200075898969899e-06
qwen25_vl_3b__chart__normal,1,0,increase_concentration,9.999930000489996e-07
qwen25_vl_3b__chart__normal,1,1,decrease_concentration,0.19892116160938214
qwen25_vl_3b__chart__normal,1,2,increase_wavelength,9.999930000489996e-07
qwen25_vl_3b__chart__normal,1,3,decrease_wavelength,0.39784132322576415
qwen25_vl_3b__chart__normal,1,4,increase_path_length,0.08987215052408178
qwen25_vl_3b__chart__normal,1,5,decrease_path_length,0.05762048245037281
qwen25_vl_3b__chart__normal,1,6,finish,0.25574288220439906
qwen25_vl_3b__chart__normal,2,0,increase_concentration,9.999930000489998e-07
qwen25_vl_3b__chart__normal,2,1,decrease_concentration,9.999930000489998e-07
qwen25_vl_3b__chart__normal,2,2,increase_wavelength,0.9999940000418008
qwen25_vl_3b__chart__normal,2,3,decrease_wavelength,9.999930000489998e-07
qwen25_vl_3b__chart__normal,2,4,increase_path_length,9.999930000489998e-07
qwen25_vl_3b__chart__normal,2,5,decrease_path_length,9.999930000489998e-07
qwen25_vl_3b__chart__normal,2,6,finish,9.999931991784982e-07
qwen25_vl_3b__chart__student,0,0,increase_concentration,0.14853479940207534
qwen25_vl_3b__chart__student,0,1,decrease_concentration,9.99993000049e-07
qwen25_vl_3b__chart__student,0,2,increase_wavelength,0.6630134068559691
qwen25_vl_3b__chart__student,0,3,decrease_wavelength,0.18844779376995566
qwen25_vl_3b__chart__student,0,4,increase_path_length,9.99993000072413e-07
qwen25_vl_3b__chart__student,0,5,decrease_path_length,9.99993000049e-07
qwen25_vl_3b__chart__student,0,6,finish,9.99993000049e-07
qwen25_vl_3b__chart__student,1,0,increase_concentration,9.999930002503003e-07
qwen25_vl_3b__chart__student,1,1,decrease_concentration,0.5057724673661499
qwen25_vl_3b__chart__student,1,2,increase_wavelength,6.438736905253895e-06
qwen25_vl_3b__chart__student,1,3,decrease_wavelength,0.4424347407248936
qwen25_vl_3b__chart__student,1,4,increase_path_length,0.050938235880249344
qwen25_vl_3b__chart__student,1,5,decrease_path_length,0.0008461077225613374
qwen25_vl_3b__chart__student,1,6,finish,1.0095762403896189e-06
qwen25_vl_3b__chart__student,2,0,increase_concentration,9.999930000489998e-07
qwen25_vl_3b__chart__student,2,1,decrease_concentration,0.10177708570091963
qwen25_vl_3b__chart__student,2,2,increase_wavelength,0.15275501644909992
qwen25_vl_3b__chart__student,2,3,decrease_wavelength,0.3151373772591076
qwen25_vl_3b__chart__student,2,4,increase_path_length,9.999930000489998e-07
qwen25_vl_3b__chart__student,2,5,decrease_path_length,0.09888411927107156
qwen25_vl_3b__chart__student,2,6,finish,0.33144440133380115
qwen25_vl_3b__simulation__normal,0,0,increase_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,0,1,decrease_concentration,0.01025499119639524
qwen25_vl_3b__simulation__normal,0,2,increase_wavelength,0.9773225755968871
qwen25_vl_3b__simulation__normal,0,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,0,4,increase_path_length,0.002164420047634807
qwen25_vl_3b__simulation__normal,0,5,decrease_path_length,0.01025499119639524
qwen25_vl_3b__simulation__normal,0,6,finish,1.021976687462581e-06
qwen25_vl_3b__simulation__normal,1,0,increase_concentration,0.1799645043826663
qwen25_vl_3b__simulation__normal,1,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,1,2,increase_wavelength,0.6464517187029415
qwen25_vl_3b__simulation__normal,1,3,decrease_wavelength,0.07906885216767542
qwen25_vl_3b__simulation__normal,1,4,increase_path_length,9.999970206403319e-07
qwen25_vl_3b__simulation__normal,1,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,1,6,finish,0.09451192476369612
qwen25_vl_3b__simulation__normal,2,0,increase_concentration,0.3211412268120253
qwen25_vl_3b__simulation__normal,2,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,2,2,increase_wavelength,0.0011425566511309771
qwen25_vl_3b__simulation__normal,2,3,decrease_wavelength,0.23622026229046347
qwen25_vl_3b__simulation__normal,2,4,increase_path_length,0.22852906162516531
qwen25_vl_3b__simulation__normal,2,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_3b__simulation__normal,2,6,finish,0.21296489263521481
qwen25_vl_3b__simulation__student,0,0,increase_concentration,0.2636120773369732
qwen25_vl_3b__simulation__student,0,1,decrease_concentration,9.999930000489998e-07
qwen25_vl_3b__simulation__student,0,2,increase_wavelength,0.080535234594226
qwen25_vl_3b__simulation__student,0,3,decrease_wavelength,0.24024510270285837
qwen25_vl_3b__simulation__student,0,4,increase_path_length,0.1503248554091897
qwen25_vl_3b__simulation__student,0,5,decrease_path_length,0.03006577107623792
qwen25_vl_3b__simulation__student,0,6,finish,0.23521595888751484
qwen25_vl_3b__simulation__student,1,0,increase_concentration,9.999930000489998e-07
qwen25_vl_3b__simulation__student,1,1,decrease_concentration,9.999930000489998e-07
qwen25_vl_3b__simulation__student,1,2,increase_wavelength,0.9999940000419996
qwen25_vl_3b__simulation__student,1,3,decrease_wavelength,9.999930000489998e-07
qwen25_vl_3b__simulation__student,1,4,increase_path_length,9.999930000489998e-07
qwen25_vl_3b__simulation__student,1,5,decrease_path_length,9.999930003024555e-07
qwen25_vl_3b__simulation__student,1,6,finish,9.999930000489998e-07
qwen25_vl_3b__simulation__student,2,0,increase_concentration,0.4592693998420287
qwen25_vl_3b__simulation__student,2,1,decrease_concentration,0.36800797412438896
qwen25_vl_3b__simulation__student,2,2,increase_wavelength,0.08335391128925437
qwen25_vl_3b__simulation__student,2,3,decrease_wavelength,0.041263407844148954
qwen25_vl_3b__simulation__student,2,4,increase_path_length,9.999930000489998e-07
qwen25_vl_3b__simulation__student,2,5,decrease_path_length,9.999930000489998e-07
qwen25_vl_3b__simulation__student,2,6,finish,0.048103306914178835
qwen25_vl_7b__chart__normal,0,0,increase_concentration,0.051648569229170604
qwen25_vl_7b__chart__normal,0,1,decrease_concentration,0.06739149575144368
qwen25_vl_7b__chart__normal,0,2,increase_wavelength,0.07848116088928263
qwen25_vl_7b__chart__normal,0,3,decrease_wavelength,0.6074442782290264
qwen25_vl_7b__chart__normal,0,4,increase_path_length,1.2259533653015102e-06
qwen25_vl_7b__chart__normal,0,5,decrease_path_length,9.99993001804833e-07
qwen25_vl_7b__chart__normal,0,6,finish,0.19503226995470946
qwen25_vl_7b__chart__normal,1,0,increase_concentration,9.999930000491709e-07
qwen25_vl_7b__chart__normal,1,1,decrease_concentration,0.16588802393684826
qwen25_vl_7b__chart__normal,1,2,increase_wavelength,0.6985742355651956
qwen25_vl_7b__chart__normal,1,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_7b__chart__normal,1,4,increase_path_length,0.09034008819398984
qwen25_vl_7b__chart__normal,1,5,decrease_path_length,0.04517784790237741
qwen25_vl_7b__chart__normal,1,6,finish,1.7804415588876342e-05
qwen25_vl_7b__chart__normal,2,0,increase_concentration,0.4217914605509188
qwen25_vl_7b__chart__normal,2,1,decrease_concentration,0.1342687199441274
qwen25_vl_7b__chart__normal,2,2,increase_wavelength,0.17245271723157396
qwen25_vl_7b__chart__normal,2,3,decrease_wavelength,9.99993001231913e-07
qwen25_vl_7b__chart__normal,2,4,increase_path_length,0.09595708147500359
qwen25_vl_7b__chart__normal,2,5,decrease_path_length,0.05757097893881049
qwen25_vl_7b__chart__normal,2,6,finish,0.11795804186656456
qwen25_vl_7b__chart__student,0,0,increase_concentration,0.3533658170264409
qwen25_vl_7b__chart__student,0,1,decrease_concentration,0.12425280360505944
qwen25_vl_7b__chart__student,0,2,increase_wavelength,0.06678741565060124
qwen25_vl_7b__chart__student,0,3,decrease_wavelength,0.12425280363597646
qwen25_vl_7b__chart__student,0,4,increase_path_length,0.04141827391236651
qwen25_vl_7b__chart__student,0,5,decrease_path_length,9.999930000489998e-07
qwen25_vl_7b__chart__student,0,6,finish,0.28992188617655545
qwen25_vl_7b__chart__student,1,0,increase_concentration,9.999930000489996e-07
qwen25_vl_7b__chart__student,1,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_7b__chart__student,1,2,increase_wavelength,9.999930000494845e-07
qwen25_vl_7b__chart__student,1,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_7b__chart__student,1,4,increase_path_length,0.42856943297434114
qwen25_vl_7b__chart__student,1,5,decrease_path_length,0.2857133025321615
qwen25_vl_7b__chart__student,1,6,finish,0.2857132645214971
qwen25_vl_7b__chart__student,2,0,increase_concentration,0.27871109882521306
qwen25_vl_7b__chart__student,2,1,decrease_concentration,1.0000781384771174e-06
qwen25_vl_7b__chart__student,2,2,increase_wavelength,0.72128390111196
qwen25_vl_7b__chart__student,2,3,decrease_wavelength,9.99993845279798e-07
qwen25_vl_7b__chart__student,2,4,increase_path_length,9.999931888275423e-07
qwen25_vl_7b__chart__student,2,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__chart__student,2,6,finish,1.0000046542601087e-06
qwen25_vl_7b__simulation__normal,0,0,increase_concentration,0.10721626090386843
qwen25_vl_7b__simulation__normal,0,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_7b__simulation__normal,0,2,increase_wavelength,2.2245068252581826e-06
qwen25_vl_7b__simulation__normal,0,3,decrease_wavelength,0.2564096593858328
qwen25_vl_7b__simulation__normal,0,4,increase_path_length,0.5361284858986249
qwen25_vl_7b__simulation__normal,0,5,decrease_path_length,0.06993067211980171
qwen25_vl_7b__simulation__normal,0,6,finish,0.030311697192046738
qwen25_vl_7b__simulation__normal,1,0,increase_concentration,0.03463214385629554
qwen25_vl_7b__simulation__normal,1,1,decrease_concentration,9.999930000489996e-07
qwen25_vl_7b__simulation__normal,1,2,increase_wavelength,0.8306925236510097
qwen25_vl_7b__simulation__normal,1,3,decrease_wavelength,1.100653037364501e-06
qwen25_vl_7b__simulation__normal,1,4,increase_path_length,1.0002838077096256e-06
qwen25_vl_7b__simulation__normal,1,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation__normal,1,6,finish,0.13467123156984964
qwen25_vl_7b__simulation__normal,2,0,increase_concentration,0.6143916831614229
qwen25_vl_7b__simulation__normal,2,1,decrease_concentration,0.1988706815231025
qwen25_vl_7b__simulation__normal,2,2,increase_wavelength,9.99993000049e-07
qwen25_vl_7b__simulation__normal,2,3,decrease_wavelength,9.999930000489996e-07
qwen25_vl_7b__simulation__normal,2,4,increase_path_length,0.1491532611405769
qwen25_vl_7b__simulation__normal,2,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation__normal,2,6,finish,0.037581374195897556
qwen25_vl_7b__simulation__student,0,0,increase_concentration,1.0127175381358058e-06
qwen25_vl_7b__simulation__student,0,1,decrease_concentration,9.999930000489998e-07
qwen25_vl_7b__simulation__student,0,2,increase_wavelength,0.9999939115952843
qwen25_vl_7b__simulation__student,0,3,decrease_wavelength,9.999930000489998e-07
qwen25_vl_7b__simulation__student,0,4,increase_path_length,9.999930000489998e-07
qwen25_vl_7b__simulation__student,0,5,decrease_path_length,9.999930000489998e-07
qwen25_vl_7b__simulation__student,0,6,finish,1.0757151774783746e-06
qwen25_vl_7b__simulation__student,1,0,increase_concentration,0.6975295043917361
qwen25_vl_7b__simulation__student,1,1,decrease_concentration,9.999930000492081e-07
qwen25_vl_7b__simulation__student,1,2,increase_wavelength,0.0014724324471867168
qwen25_vl_7b__simulation__student,1,3,decrease_wavelength,0.11629060243219384
qwen25_vl_7b__simulation__student,1,4,increase_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation__student,1,5,decrease_path_length,9.999930000489996e-07
qwen25_vl_7b__simulation__student,1,6,finish,0.1847044607498831
qwen25_vl_7b__simulation__student,2,0,increase_concentration,9.999930000490794e-07
qwen25_vl_7b__simulation__student,2,1,decrease_concentration,0.04802716962721342
qwen25_vl_7b__simulation__student,2,2,increase_wavelength,9.999930000490068e-07
qwen25_vl_7b__simulation__student,2,3,decrease_wavelength,0.047998375670860925
qwen25_vl_7b__simulation__student,2,4,increase_path_length,0.5282888659693472
qwen25_vl_7b__simulation__student,2,5,decrease_path_length,0.04802716962721342
qwen25_vl_7b__simulation__student,2,6,finish,0.327656419119365
qwen35_4b__text__normal,0,0,increase_concentration,0.8181770909422039
qwen35_4b__text__normal,0,1,decrease_concentration,0.09090945454290457
qwen35_4b__text__normal,0,2,increase_wavelength,0.09075284859010792
qwen35_4b__text__normal,0,3,decrease_wavelength,9.999930000489993e-07
qwen35_4b__text__normal,0,4,increase_path_length,9.999930000489993e-07
qwen35_4b__text__normal,0,5,decrease_path_length,9.999930000489993e-07
qwen35_4b__text__normal,0,6,finish,0.00015760594578333154
qwen35_4b__text__normal,1,0,increase_concentration,9.999930000489996e-07
qwen35_4b__text__normal,1,1,decrease_concentration,0.12500909785922873
qwen35_4b__text__normal,1,2,increase_wavelength,9.999930000489996e-07
qwen35_4b__text__normal,1,3,decrease_wavelength,9.999930000489996e-07
qwen35_4b__text__normal,1,4,increase_path_length,0.41669465954708484
qwen35_4b__text__normal,1,5,decrease_path_length,0.04167036594840854
qwen35_4b__text__normal,1,6,finish,0.4166228766662776
qwen35_4b__text__normal,2,0,increase_concentration,9.999930000489998e-07
qwen35_4b__text__normal,2,1,decrease_concentration,9.999930000489998e-07
qwen35_4b__text__normal,2,2,increase_wavelength,0.6250235397398723
qwen35_4b__text__normal,2,3,decrease_wavelength,0.37497146029512757
