hmm_group,train_total_loglik,train_mean_loglik_per_step,n_sequences,n_steps,n_states,random_state
human,-7065.039779993333,-1.292070186538649,81,5468,3,3
qwen25_vl_3b__chart__normal,-151.7990391642501,-1.1587712913301536,9,131,3,2
qwen25_vl_3b__chart__student,-96.8585482610183,-1.3836935465859757,10,70,3,2
qwen25_vl_3b__simulation__normal,-132.09690553000854,-0.820477674099432,9,161,3,4
qwen25_vl_3b__simulation__student,-89.36319710482611,-1.3141646633062665,9,68,3,3
qwen25_vl_7b__chart__normal,-145.08207067116882,-1.5434262837358386,10,94,3,3
qwen25_vl_7b__chart__student,-57.15259684380913,-1.4288149210952281,9,40,3,3
qwen25_vl_7b__simulation__normal,-155.1839888523052,-1.2719999086254523,10,122,3,3
qwen25_vl_7b__simulation__student,-66.178997917751,-1.2976274101519805,10,51,3,2
qwen35_4b__text__normal,-69.56025476316225,-1.1789873688671568,10,59,3,3
qwen35_4b__text__student,-126.1332132452562,-1.4498070487960484,10,87,3,3
qwen35_9b__text__normal,-116.2917838541005,-1.2640411288489184,10,92,3,2
qwen35_9b__text__student,-178.33658920131302,-1.6361154972597525,10,109,3,1
