source,modality,prompt_condition,model,count,mean,std,min,25%,50%,75%,max
human,human,human,human,81.0,-1.3845111303317892,0.3029575982468178,-2.259731235613034,-1.4987139129015514,-1.3055050384795106,-1.205861109122422,-0.9017637317302182
model,chart,normal,qwen25_vl_3b,9.0,-1.751709088050632,0.3472246165790797,-2.3316525906552945,-1.954540612385771,-1.66609086074362,-1.5251528535931327,-1.2573461516092221
model,chart,normal,qwen25_vl_7b,10.0,-2.119575485225458,0.4468404531921789,-2.8121993381155734,-2.466750080193305,-2.1585901431072774,-1.7221653339330285,-1.529481212948469
model,chart,student,qwen25_vl_3b,10.0,-2.272841547087136,0.44345598654420043,-3.1421631449321272,-2.5597908249884473,-2.166380233148379,-2.0474714519494137,-1.6099408876989443
model,chart,student,qwen25_vl_7b,9.0,-2.2729773745337365,0.4010472661188269,-2.9151442877744826,-2.438516396142674,-2.1644829392774714,-2.098315905340607,-1.592441068265518
model,simulation,normal,qwen25_vl_3b,9.0,-1.4855928262033002,0.33095433700489907,-2.1938466553876617,-1.6099408876989443,-1.384415730462117,-1.3483335714580118,-0.9882496402621815
model,simulation,normal,qwen25_vl_7b,10.0,-1.757592366867906,0.3250060127335874,-2.319419427398073,-1.9108427105575652,-1.733150817619954,-1.5585791859714464,-1.284383497104303
model,simulation,student,qwen25_vl_3b,9.0,-2.302555658914225,0.4950680558340895,-2.85755143396367,-2.735521830994487,-2.3525377203119797,-2.0286944328974363,-1.3002003387691026
model,simulation,student,qwen25_vl_7b,10.0,-2.391090904878134,0.36275557458620444,-3.0458200975300835,-2.5426186500782926,-2.3284655269824706,-2.1387391992699394,-1.9886464999092233
model,text,normal,qwen35_4b,10.0,-2.4124518919770557,0.3578985348480407,-3.0169473897382018,-2.486201906398524,-2.485894253101299,-2.156242290912729,-1.87929596173468
model,text,normal,qwen35_9b,10.0,-2.1938010721507886,0.488419621811774,-3.069769959396126,-2.486201906398524,-2.2091202376486847,-1.7892696879020882,-1.4908788743534775
model,text,student,qwen35_4b,10.0,-2.303381884499318,0.1742224326853172,-2.622547465070049,-2.4319012318271334,-2.254541640386801,-2.149788233308935,-2.111759541606335
model,text,student,qwen35_9b,10.0,-2.4368680184275826,0.3283441610119727,-3.069769959396126,-2.6277823304415326,-2.3346487821947104,-2.177123098666613,-2.111759541606335
