episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,human,79,-1.4430860167293031
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,79,-3.8558627552056572
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,79,-3.8733982360884314
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,79,-3.270647332165039
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,79,-2.418831175222142
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,79,-2.395770327536665
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,79,-2.3483298663378798
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,79,-3.1962803994499116
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,79,-3.249793484228642
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,79,-3.6458832339393554
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,79,-2.374932038866142
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,79,-4.115396749787765
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,79,-2.1152916134204447
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,human,21,-1.2778942945346545
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,21,-4.484811967981262
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,21,-3.5612393418271444
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,21,-3.264079996512414
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,21,-2.590961575365453
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,21,-2.283170537473447
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,21,-1.987738247764895
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,21,-1.901817284079163
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,21,-4.440994862455036
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,21,-4.289483176756367
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,21,-3.301606811602161
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,21,-3.9888993039808427
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,21,-2.7215855316168063
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,human,55,-1.3959584836354357
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,55,-4.5311044213858835
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,55,-4.520846487483364
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,55,-3.712748080287297
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,55,-2.0448608954303507
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,55,-2.597864813234625
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,55,-2.6386598454714236
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,55,-2.551042326324246
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,55,-4.087349549527286
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,55,-4.990842235156175
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,55,-2.3104500750794936
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,55,-4.493775266734848
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,55,-2.2020198005122595
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,human,33,-1.2750749451659722
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,33,-4.4584568793910515
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,33,-2.575762585145061
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,33,-2.503357969841204
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,33,-2.62781618537548
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,33,-2.2187497637872395
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,33,-2.4583441659612832
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,33,-3.1745096932365633
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,33,-3.61154300628206
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,33,-2.2137998710206186
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,33,-3.0378078288285373
