modality,formula,setup,model,total_episodes,parse_error_episodes,parse_error_rate,finish_reached_count,forced_finish_count,final_equation_non_null_count
Chart-only,beers,abbrev,model_qwen25_vl_3b,10,2,0.2,8,0,8
Chart-only,beers,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,beers,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,beers,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,beers,concrete,model_qwen25_vl_3b,10,1,0.1,9,0,9
Chart-only,beers,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,distance,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,distance,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,distance,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,distance,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,distance,concrete,model_qwen25_vl_3b,10,1,0.1,9,0,9
Chart-only,distance,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,kinematics,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,kinematics,abbrev,model_qwen25_vl_7b,10,2,0.2,8,0,8
Chart-only,kinematics,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,kinematics,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,kinematics,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,kinematics,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,mass,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,mass,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,mass,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,mass,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,mass,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,mass,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,ohm,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,ohm,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,ohm,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,ohm,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,ohm,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,ohm,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,resistors,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,resistors,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,resistors,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,resistors,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Chart-only,resistors,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Chart-only,resistors,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,beers,abbrev,model_qwen25_vl_3b,10,1,0.1,9,0,9
Simulation-only,beers,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,beers,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,beers,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,beers,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,beers,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,distance,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,distance,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,distance,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,distance,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,distance,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,distance,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,kinematics,abbrev,model_qwen25_vl_7b,10,1,0.1,9,0,9
Simulation-only,kinematics,abstract,model_qwen25_vl_3b,10,1,0.1,9,0,9
Simulation-only,kinematics,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,kinematics,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,kinematics,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,mass,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,mass,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,mass,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,mass,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,mass,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,mass,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,ohm,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,ohm,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,ohm,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,ohm,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,ohm,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,ohm,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,resistors,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,resistors,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,resistors,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,resistors,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Simulation-only,resistors,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Simulation-only,resistors,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Student-simulation,beers_wavelength,unknown,model_qwen25_vl_3b,40,0,0.0,40,3,0
Student-simulation,beers_wavelength,unknown,model_qwen25_vl_7b,40,0,0.0,40,0,0
Student-simulation,beers_wavelength,unknown,model_qwen35_4b,20,0,0.0,20,0,0
Student-simulation,beers_wavelength,unknown,model_qwen35_9b,20,0,0.0,20,0,0
Student-simulation,concentration,unknown,model_qwen25_vl_3b,40,0,0.0,40,5,0
Student-simulation,concentration,unknown,model_qwen25_vl_7b,40,0,0.0,40,6,0
Student-simulation,concentration,unknown,model_qwen35_4b,20,0,0.0,20,0,0
Student-simulation,concentration,unknown,model_qwen35_9b,20,0,0.0,20,0,0
Text+image,beers,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,beers,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,beers,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,beers,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,beers,concrete,model_qwen25_vl_3b,10,1,0.1,9,0,9
Text+image,beers,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,distance,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,distance,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,distance,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,distance,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,distance,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,distance,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,kinematics,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,kinematics,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,kinematics,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,kinematics,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,kinematics,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,kinematics,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,mass,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,mass,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,mass,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,mass,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,mass,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,mass,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,ohm,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,ohm,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,ohm,abstract,model_qwen25_vl_3b,10,1,0.1,9,0,9
Text+image,ohm,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,ohm,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,ohm,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,resistors,abbrev,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,resistors,abbrev,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,resistors,abstract,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,resistors,abstract,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text+image,resistors,concrete,model_qwen25_vl_3b,10,0,0.0,10,0,10
Text+image,resistors,concrete,model_qwen25_vl_7b,10,0,0.0,10,0,10
Text-only,beers,abbrev,model_gemma3_4b,10,0,0.0,10,0,10
