"source_dir","modality","formula","setup","model","n_runs","run_name","wandb_project","command","confidence"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","abbrev","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_beers_abbrev_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_abbrev.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_abbrev_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","abbrev","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_beers_abbrev_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_abbrev.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_abbrev_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","abstract","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_beers_abstract_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_abstract.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_abstract_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","abstract","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_beers_abstract_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_abstract.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_abstract_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","concrete","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_beers_concrete_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_concrete.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_concrete_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","beers","concrete","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_beers_concrete_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_beers_concrete.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_beers_concrete_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","abbrev","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_distance_abbrev_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_abbrev.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_abbrev_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","abbrev","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_distance_abbrev_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_abbrev.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_abbrev_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","abstract","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_distance_abstract_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_abstract.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_abstract_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","abstract","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_distance_abstract_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_abstract.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_abstract_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","concrete","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_distance_concrete_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_concrete.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_concrete_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","distance","concrete","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_distance_concrete_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_distance_concrete.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_distance_concrete_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abbrev","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_kinematics_abbrev_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_abbrev.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_abbrev_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abbrev","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_kinematics_abbrev_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_abbrev.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_abbrev_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abstract","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_kinematics_abstract_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_abstract.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_abstract_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abstract","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_kinematics_abstract_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_abstract.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_abstract_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","concrete","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_kinematics_concrete_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_concrete.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_concrete_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","kinematics","concrete","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_kinematics_concrete_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_kinematics_concrete.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_kinematics_concrete_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","mass","abbrev","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_mass_abbrev_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_mass_abbrev.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_mass_abbrev_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","mass","abbrev","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_mass_abbrev_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_mass_abbrev.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_mass_abbrev_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","mass","abstract","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_mass_abstract_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_mass_abstract.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_mass_abstract_qwen25_vl_3b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","mass","abstract","model_qwen25_vl_7b","10","rerun_parse_fix_chart_only_mass_abstract_qwen25_vl_7b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_mass_abstract.yaml --model_config configs/model_qwen25_vl_7b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_mass_abstract_qwen25_vl_7b_n10","high"
"wandb_downloads_text_image_chart_only2","Chart-only","mass","concrete","model_qwen25_vl_3b","10","rerun_parse_fix_chart_only_mass_concrete_qwen25_vl_3b_n10","scientific-exploration-parse-fix-vlm-rerun","python run_experiment.py --config configs/config_strict_chart_only.yaml --experiment_config configs/experiment_chart_action.yaml --prompt_config configs/prompt_strict_chart_only_fomula.yaml --env_config configs/env_mass_concrete.yaml --model_config configs/model_qwen25_vl_3b.yaml --n_runs 10 --wandb_project scientific-exploration-parse-fix-vlm-rerun --run_name rerun_parse_fix_chart_only_mass_concrete_qwen25_vl_3b_n10","high"
