type,collection_name,version,aliases,full_name,created_at
episode_data,episode-distance_abbrev_gemma3_4b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-00:latest,2026-05-05T19:24:14+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-01:latest,2026-05-05T19:24:41+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-02:latest,2026-05-05T19:25:56+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-03:latest,2026-05-05T19:26:47+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-04:latest,2026-05-05T19:27:12+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-05:latest,2026-05-05T19:27:40+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-06:latest,2026-05-05T19:28:18+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-07:latest,2026-05-05T19:28:36+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-08:latest,2026-05-05T19:28:55+00:00
episode_data,episode-distance_abbrev_gemma3_4b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_gemma3_4b_10runs-09:latest,2026-05-05T19:29:07+00:00
episode_data,episode-distance_abbrev_llama31_8b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_llama31_8b_10runs-00:latest,2026-05-05T19:10:48+00:00
episode_data,episode-distance_abbrev_llama31_8b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_llama31_8b_10runs-01:latest,2026-05-05T19:11:15+00:00
episode_data,episode-distance_abbrev_llama31_8b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_llama31_8b_10runs-02:latest,2026-05-05T19:11:34+00:00
