type,collection_name,version,aliases,full_name
episode_data,episode-ohm_abbrev_gemma3_4b-29,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-29:v0
episode_data,episode-ohm_abbrev_gemma3_4b-28,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-28:v0
episode_data,episode-ohm_abbrev_gemma3_4b-27,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-27:v0
episode_data,episode-ohm_abbrev_gemma3_4b-26,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-26:v0
episode_data,episode-ohm_abbrev_gemma3_4b-25,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-25:v0
episode_data,episode-ohm_abbrev_gemma3_4b-24,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-24:v0
episode_data,episode-ohm_abbrev_gemma3_4b-23,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-23:v0
episode_data,episode-ohm_abbrev_gemma3_4b-22,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-22:v0
episode_data,episode-ohm_abbrev_gemma3_4b-21,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-21:v0
episode_data,episode-ohm_abbrev_gemma3_4b-20,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-20:v0
episode_data,episode-ohm_abbrev_gemma3_4b-19,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-19:v0
episode_data,episode-ohm_abbrev_gemma3_4b-18,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-18:v0
episode_data,episode-ohm_abbrev_gemma3_4b-17,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-17:v0
episode_data,episode-ohm_abbrev_gemma3_4b-16,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-16:v0
episode_data,episode-ohm_abbrev_gemma3_4b-15,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-15:v0
episode_data,episode-ohm_abbrev_gemma3_4b-14,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-14:v0
episode_data,episode-ohm_abbrev_gemma3_4b-13,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-13:v0
episode_data,episode-ohm_abbrev_gemma3_4b-12,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-12:v0
episode_data,episode-ohm_abbrev_gemma3_4b-11,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-11:v0
episode_data,episode-ohm_abbrev_gemma3_4b-10,v0,latest,leyao-li-epfl/scientific-exploration/episode-ohm_abbrev_gemma3_4b-10:v0
